id,group,wave,kind,count,rms,max_abs,bias,modulo_180_rms,modulo_180_max_abs
E_Watsonian_ref_P1,E_Watsonian,P1,same_native_s,43,22.75995827305189,101.59537674031974,7.868686335582435,20.51677674200822,82.78163099818198
F_M50L8_S0,F,S0,direct_coordinate,41,21.066777885030167,75.6654683307656,10.239731024824223,21.06677788503017,75.6654683307656
F_M50L8_S0,F,S0,same_native_s,43,20.79908133845828,76.69790262889273,10.10431962235587,20.799081338458276,76.69790262889273
F_M50L8_S2,F,S2,direct_coordinate,41,3.4515811265994394,8.554850790064368,-2.4967098516821133,3.451581126599438,8.554850790064364
F_M50L8_S2,F,S2,same_native_s,43,3.4350331399003813,8.750547630091887,-2.4575343021734604,3.435033139900381,8.750547630091887
F_M50L8_P1,F,P1,direct_coordinate,41,5.1320657127089095,20.825929728706825,0.5011351545568731,5.1320657127089095,20.825929728706825
F_M50L8_P1,F,P1,same_native_s,43,4.926471263258486,21.752503129607163,0.6512485276115966,4.926471263258486,21.752503129607163
F_M50L10_S0,F,S0,direct_coordinate,41,24.114750436778884,85.47258201527622,10.9775419823566,24.114750436778884,85.4725820152762
F_M50L10_S0,F,S0,same_native_s,43,23.75889445472623,85.59667620595197,10.781200804924152,23.758894454726228,85.59667620595195
F_M50L10_S2,F,S2,direct_coordinate,41,1.9261134374507007,5.140589986741308,-1.3322379707665073,1.9261134374507007,5.140589986741304
F_M50L10_S2,F,S2,same_native_s,43,1.9434805636015462,5.271268052806665,-1.3384649018106063,1.943480563601545,5.271268052806661
F_M50L10_P1,F,P1,direct_coordinate,41,4.814006062668995,18.353454940879416,2.101773506646502,4.814006062668995,18.353454940879416
F_M50L10_P1,F,P1,same_native_s,43,5.109486120665801,20.27551702579595,2.1757341196406625,5.109486120665801,20.27551702579595
F_M50L12_S0,F,S0,direct_coordinate,41,23.19608082856818,79.43661230883943,10.464564682099592,23.196080828568178,79.43661230883941
F_M50L12_S0,F,S0,same_native_s,43,22.866884079756403,79.6461159156923,10.280677825405878,22.8668840797564,79.64611591569229
F_M50L12_S2,F,S2,direct_coordinate,41,0.7717720857296465,2.243978932257008,-0.4459599074462472,0.7717720857296457,2.243978932257008
F_M50L12_S2,F,S2,same_native_s,43,0.8020815907172268,2.4220439141350134,-0.48705594588577483,0.8020815907172277,2.422043914135017
F_M50L12_P1,F,P1,direct_coordinate,41,6.7362415502353,26.457312355494537,2.5151307416275874,6.7362415502353,26.457312355494537
F_M50L12_P1,F,P1,same_native_s,43,7.004078796274193,28.292663691117298,2.5693465080264577,7.004078796274193,28.292663691117298
F_M45L10_S0,F,S0,direct_coordinate,36,23.465305051278595,94.20617957321164,11.095698275052987,22.55124709228836,85.79382042678836
F_M45L10_S0,F,S0,same_native_s,38,23.126936851904656,95.08346169812174,10.839279943305861,22.061189843879102,84.91653830187826
F_M45L10_S2,F,S2,direct_coordinate,36,1.2143630383177082,3.4231290709888924,-0.8478029528512825,1.2143630383177078,3.4231290709888924
F_M45L10_S2,F,S2,same_native_s,38,1.2435411572475947,3.5582819749582875,-0.8668079445654379,1.243541157247595,3.558281974958291
F_M45L10_P1,F,P1,direct_coordinate,36,7.443433191536985,33.88227210758863,2.578139008258569,7.443433191536985,33.88227210758863
F_M45L10_P1,F,P1,same_native_s,38,7.740044362544548,36.517487418773015,2.6288750444260565,7.740044362544548,36.517487418773015
F_M60L10_S0,F,S0,direct_coordinate,48,21.366453592791295,83.42884682851624,10.33501816672063,21.3664535927913,83.42884682851624
F_M60L10_S0,F,S0,same_native_s,51,20.99547929098441,84.09178827533333,10.04725799819531,20.99547929098441,84.09178827533333
F_M60L10_S2,F,S2,direct_coordinate,48,2.001736680706918,4.7811603423102085,-1.418682348734057,2.0017366807069186,4.781160342310216
F_M60L10_S2,F,S2,same_native_s,51,2.0036600553398594,4.875235382323801,-1.401170782730706,2.00366005533986,4.875235382323808
F_M60L10_P1,F,P1,direct_coordinate,48,2.5710123656944464,12.27963713389967,0.5889214366468577,2.5710123656944464,12.27963713389967
F_M60L10_P1,F,P1,same_native_s,51,2.7086664804330267,14.58331157707002,0.7369540940127473,2.708666480433027,14.58331157707002
