model_M,model_L,energy_gev,phase_deg
60,10,0.284610870657,0.0142689060536
60,10,0.286194752493,0.0205827945623
60,10,0.288003767235,0.0305918341067
60,10,0.290029920756,0.0390103521183
60,10,0.292287596394,0.0574379096743
60,10,0.29478317118,0.0677040032038
60,10,0.297527026821,0.0942930247864
60,10,0.300532736583,0.109025431307
60,10,0.303813864598,0.145880546419
60,10,0.307375210389,0.166412733478
60,10,0.311235926361,0.215895625607
60,10,0.315415177104,0.244589276693
60,10,0.319930522291,0.308290467372
60,10,0.324807512675,0.349611895475
60,10,0.330058917543,0.425426755202
60,10,0.33571587288,0.489127945882
60,10,0.341815900838,0.577570582626
60,10,0.348376567179,0.672327107879
60,10,0.355449759122,0.772883413671
60,10,0.36306421898,0.912913572048
60,10,0.371272631863,1.02820228436
60,10,0.380129290838,1.22561974491
60,10,0.389696461786,1.3632882198
60,10,0.400031623246,1.63467296455
60,10,0.411226581302,1.81787212655
60,10,0.423357184237,2.17138561954
