group,group_path_index,f00_s3,f11_s3,pdf_path_index,pdf_x_pt,pdf_y_pt,pdf_radius_x_pt,pdf_radius_y_pt
chiral_only_green,94,0.05504895605270365,-0.004206007498292473,94,618.9469909667969,443.14649963378906,3.962982177734375,3.9625091552734375
chiral_only_green,95,0.056496873846980857,-0.004284016475532869,95,633.4979858398438,449.3789978027344,3.9630126953125,3.96099853515625
chiral_only_green,96,0.05794593951225459,-0.004356011290327892,96,648.0605163574219,455.13099670410156,3.962493896484375,3.9629974365234375
chiral_only_green,97,0.05939499910413679,-0.0044370053853523845,97,662.6229858398438,461.60198974609375,3.9630126953125,3.96099853515625
chiral_only_green,98,0.06084291993510976,-0.004513005567400643,98,677.1740112304688,467.6739959716797,3.9630126953125,3.9629974365234375
chiral_only_green,99,0.062291930939859845,-0.004588004407635592,99,691.7359924316406,473.66600036621094,3.962982177734375,3.9629974365234375
chiral_only_green,100,0.06374084477034568,-0.004662001906057232,100,706.2969970703125,479.5780029296875,3.96099853515625,3.96099853515625
chiral_only_green,101,0.0651889629865429,-0.0047359994044788726,101,720.8500061035156,485.49000549316406,3.962982177734375,3.9629974365234375
chiral_only_green,102,0.066637973991293,-0.004808995561087204,102,735.4119873046875,491.32200622558594,3.9630126953125,3.9629974365234375
chiral_only_green,103,0.06808689085847458,-0.004880990375882227,103,749.9730224609375,497.0740051269531,3.96099853515625,3.96099853515625
chiral_only_green,104,0.06953495441414817,-0.004953010209898601,104,764.5254821777344,502.8280029296875,3.962493896484375,3.96099853515625
chiral_only_green,105,0.07098381965750188,-0.005023002341067007,105,779.0859985351562,508.4199981689453,3.96099853515625,3.9629974365234375
chiral_only_green,106,0.07243288228607984,-0.005092018340629877,106,793.6484985351562,513.9340057373047,3.96051025390625,3.9610137939453125
chiral_only_green,107,0.07388094887844919,-0.005149994370038578,107,808.2009887695312,518.5659790039062,3.9630126953125,3.96099853515625
chiral_only_green,108,0.07532986574563078,-0.005229011564603494,108,822.7620239257812,524.8790283203125,3.96099853515625,3.96099853515625
