model_M,model_L,energy_gev,phase_deg
60,10,0.290027442055,3.50539681184
60,10,0.292285868263,3.92860353915
60,10,0.294784673355,4.33367222704
60,10,0.29753073029,4.81313810009
60,10,0.300535479443,5.25634208683
60,10,0.303812657998,5.81233402292
60,10,0.307373715065,6.30086891569
60,10,0.311236963976,6.95591044265
60,10,0.315416141916,7.49979615994
60,10,0.319931850294,8.28482696942
60,10,0.324805838923,8.89335961126
60,10,0.330059857617,9.84789167645
60,10,0.335717944264,10.5347812163
60,10,0.341814437457,11.7109152748
60,10,0.348379095272,12.4931501581
60,10,0.35544741344,13.952510128
60,10,0.363065166563,14.8584470077
60,10,0.371276426285,16.6821857132
60,10,0.380132137211,17.7460072718
60,10,0.389695828359,20.0313150838
60,10,0.400033884471,21.3027944857
60,10,0.411223567383,24.160585941
60,10,0.423358749307,25.7008716548
60,10,0.436540157945,29.2534649794
60,10,0.450883969877,31.116495674
60,10,0.466536141587,35.479928904
60,10,0.483654628859,37.6743194385
60,10,0.502438590291,42.9262469423
60,10,0.523110126365,45.3487467402
60,10,0.545949657282,51.4847475481
60,10,0.571279976295,53.8570271171
60,10,0.599507452531,60.7859568713
60,10,0.631126572211,62.6806155948
60,10,0.666747447945,70.3141187677
60,10,0.707142139156,71.3874847954
60,10,0.753297941527,79.8022861452
60,10,0.806490605399,80.2892030908
60,10,0.868405586292,90.089889739
60,10,0.941317981921,91.73573941
60,10,1.02836642003,108.382577945
60,10,1.13400824563,106.400017854
