drawing_index,epsilon,color,role,x,y,pdf_x,pdf_y,pdf_marker_radius
396,0.001,red_orange,boundary_sample,0.052753487850681395,-0.0033289913737960643,336.15000915527344,258.1990051269531,2.3769989013671875
397,0.001,red_orange,boundary_sample,0.0537671067556459,-0.0034209851241910998,341.3459930419922,261.77149963378906,2.3769989013671875
398,0.001,red_orange,boundary_sample,0.054782094917098303,-0.003514034657162735,346.5489959716797,265.38499450683594,2.3769989013671875
399,0.001,red_orange,boundary_sample,0.0010146743880986356,-0.0004909442728361748,70.9280014038086,147.98600006103516,2.3769989013671875
400,0.001,red_orange,boundary_sample,0.0020296618053898996,-0.0005590029567835612,76.13100051879883,150.62899780273438,2.377002716064453
401,0.001,red_orange,boundary_sample,0.003043088716781645,-0.000626997397913205,81.32600021362305,153.26950073242188,2.377002716064453
402,0.001,red_orange,boundary_sample,0.00405807613407291,-0.0006940390021436106,86.52899932861328,155.8730010986328,2.3769989013671875
403,0.001,red_orange,boundary_sample,0.005072381155603631,-0.000761042099975614,91.72850036621094,158.47500610351562,2.3765029907226562
404,0.001,red_orange,boundary_sample,0.0060874660580035435,-0.0008280192649270609,96.93199920654297,161.0760040283203,2.3769989013671875
405,0.001,red_orange,boundary_sample,0.007101673594425616,-0.0008950219698366317,102.13100051879883,163.67799377441406,2.377002716064453
406,0.001,red_orange,boundary_sample,0.00811666101171688,-0.0009609952179725923,107.33399963378906,166.24000549316406,2.3769989013671875
407,0.001,red_orange,boundary_sample,0.009130087923108626,-0.0010269936131442443,112.52899932861328,168.80299377441406,2.3769989013671875
408,0.001,red_orange,boundary_sample,0.010145076084561024,-0.0010919625515422862,117.73200225830078,171.3260040283203,2.3769989013671875
409,0.001,red_orange,boundary_sample,0.011159477847039261,-0.0011579611431751546,122.93199920654297,173.88899993896484,2.3769989013671875
410,0.001,red_orange,boundary_sample,0.012174465264330523,-0.0012220285210514223,128.1349983215332,176.3769989013672,2.376995086669922
411,0.001,red_orange,boundary_sample,0.013188672800752596,-0.0012880143427052286,133.33399963378906,178.9394989013672,2.3769989013671875
412,0.001,red_orange,boundary_sample,0.014203660962204996,-0.0013529958546211161,138.53700256347656,181.46299743652344,2.3769989013671875
413,0.001,red_orange,boundary_sample,0.015217086385274472,-0.0014169604832812393,143.73199462890625,183.94700622558594,2.3769989013671875
414,0.001,red_orange,boundary_sample,0.016232271005266436,-0.0014810535975768474,148.93600463867188,186.43600463867188,2.3769989013671875
415,0.001,red_orange,boundary_sample,0.017246476309205106,-0.001545017833314538,154.13499450683594,188.9199981689453,2.3769989013671875
416,0.001,red_orange,boundary_sample,0.018261464470657504,-0.0016089822655134447,159.33799743652344,191.40399932861328,2.3769989013671875
417,0.001,red_orange,boundary_sample,0.019275282810806114,-0.0016719683208549893,164.53500366210938,193.85000610351562,2.378997802734375
418,0.001,red_orange,boundary_sample,0.020289098174310186,-0.001735031192532122,169.73199462890625,196.2989959716797,2.3769989013671875
419,0.001,red_orange,boundary_sample,0.021304282794302153,-0.0017979915114543262,174.93600463867188,198.74400329589844,2.3769989013671875
420,0.001,red_orange,boundary_sample,0.022318488098240823,-0.0018599471277161792,180.13499450683594,201.14999389648438,2.3769989013671875
421,0.001,red_orange,boundary_sample,0.02333347625969322,-0.0019220320154583824,185.33799743652344,203.56100463867188,2.3769989013671875
422,0.001,red_orange,boundary_sample,0.02434729459984183,-0.0019809750954289116,190.53500366210938,205.85000610351562,2.378997802734375
423,0.001,red_orange,boundary_sample,0.02536228127297196,-0.0020460465865818817,195.73799896240234,208.3769989013672,2.3790054321289062
424,0.001,red_orange,boundary_sample,0.02637629458333787,-0.0021069982860282485,200.93600463867188,210.74400329589844,2.3769989013671875
425,0.001,red_orange,boundary_sample,0.027391281256468,-0.002167949789013399,206.13899993896484,213.11100006103516,2.3770065307617188
426,0.001,red_orange,boundary_sample,0.028405488048728937,-0.002228000124399208,211.33799743652344,215.44300079345703,2.3769989013671875
427,0.001,red_orange,boundary_sample,0.029420476210181335,-0.002287960284086718,216.54100036621094,217.77149963378906,2.3769989013671875
428,0.001,red_orange,boundary_sample,0.030433903121573083,-0.0023490278956507242,221.73600006103516,220.14300537109375,2.3770065307617188
429,0.001,red_orange,boundary_sample,0.031448988023972994,-0.002407970779160037,226.9394989013672,222.43199920654297,2.376495361328125
430,0.001,red_orange,boundary_sample,0.032463293045503716,-0.0024670170012691434,232.13899993896484,224.72500610351562,2.3770065307617188
431,0.001,red_orange,boundary_sample,0.03347827971863385,-0.002523024164822721,237.3419952392578,226.89999389648438,2.3769989013671875
432,0.001,red_orange,boundary_sample,0.03449248799921705,-0.0025850059104263468,242.54100036621094,229.30699920654297,2.3769989013671875
433,0.001,red_orange,boundary_sample,0.03550747616066945,-0.002644052132535453,247.74400329589844,231.60000610351562,2.3769989013671875
434,0.001,red_orange,boundary_sample,0.036520999813008714,-0.002700986593030145,252.9394989013672,233.81100463867188,2.376495361328125
435,0.001,red_orange,boundary_sample,0.037536084715408626,-0.002759015342499838,258.1429977416992,236.0644989013672,2.3769912719726562
436,0.001,red_orange,boundary_sample,0.03855029150766956,-0.0028159885058541482,263.3419952392578,238.2770004272461,2.3769989013671875
437,0.001,red_orange,boundary_sample,0.03956449978825277,-0.0028729746356487367,268.54100036621094,240.49000549316406,2.3769989013671875
438,0.001,red_orange,boundary_sample,0.040579487949705166,-0.0029300120418207895,273.74400329589844,242.7050018310547,2.3769989013671875
439,0.001,red_orange,boundary_sample,0.04159301160204443,-0.0029850408285170046,278.9394989013672,244.8419952392578,2.3765106201171875
440,0.001,red_orange,boundary_sample,0.042608095016122075,-0.0030409711757349938,284.1429901123047,247.01399993896484,2.3769989013671875
441,0.001,red_orange,boundary_sample,0.04362230329670528,-0.0030969915021900655,289.3419952392578,249.1894989013672,2.3769989013671875
442,0.001,red_orange,boundary_sample,0.044637291458157674,-0.0031510034056305165,294.5449981689453,251.28700256347656,2.3769989013671875
443,0.001,red_orange,boundary_sample,0.045651499738740886,-0.0032030194595741913,299.74400329589844,253.30699920654297,2.3769989013671875
444,0.001,red_orange,boundary_sample,0.04666648790019328,-0.0032509927346080674,304.94700622558594,255.1699981689453,2.3769989013671875
445,0.001,red_orange,boundary_sample,0.04768010680515779,-0.0033139530535302715,310.1429901123047,257.61500549316406,2.3769989013671875
446,0.001,red_orange,boundary_sample,0.04869509496661019,-0.0033590165414889685,315.3459930419922,259.36500549316406,2.3769989013671875
447,0.001,red_orange,boundary_sample,0.049709303247193394,-0.0034189639311974166,320.5449981689453,261.69300842285156,2.3769989013671875
448,0.001,red_orange,boundary_sample,0.05072429140864579,-0.003463023109418195,325.7480010986328,263.4040069580078,2.3769989013671875
449,0.001,red_orange,boundary_sample,0.051738499689229,-0.0035130303474248162,330.94700622558594,265.3459930419922,2.3769989013671875
450,0.001,red_orange,boundary_sample,0.052753487850681395,-0.0035610038189199085,336.15000915527344,267.20899963378906,2.3769989013671875
451,0.001,red_orange,boundary_sample,0.0537671067556459,-0.003599037138713174,341.3459930419922,268.6859893798828,2.3769989013671875
452,0.0006,purple,boundary_sample,0.0006831401843227223,0.00016296558922422106,69.22850036621094,122.59199905395508,2.3765029907226562
453,0.0006,purple,boundary_sample,0.0013673740228683999,0.00011800514517349321,72.73600006103516,124.33799743652344,2.3769989013671875
454,0.0006,purple,boundary_sample,0.0020501448406232076,7.204029315423843e-05,76.23600006103516,126.12300109863281,2.3769989013671875
455,0.0006,purple,boundary_sample,0.0027333055988126116,2.7981114933460212e-05,79.73799896240234,127.83399963378906,2.378997802734375
456,0.0006,purple,boundary_sample,0.0034172469820323422,-1.697942734787579e-05,83.24399948120117,129.5800018310547,2.377002716064453
457,0.0006,purple,boundary_sample,0.00410001779978715,-6.204291530657279e-05,86.74399948120117,131.3300018310547,2.377002716064453
458,0.0006,purple,boundary_sample,0.004783569242572285,-0.0001070034575879088,90.24800109863281,133.0760040283203,2.3769989013671875
459,0.0006,purple,boundary_sample,0.005467119941196284,-0.00015296811314594725,93.75199890136719,134.86100006103516,2.3769989013671875
460,0.0006,purple,boundary_sample,0.0061506713839814195,-0.0001989972079829445,97.25600051879883,136.64849853515625,2.377002716064453
461,0.0006,purple,boundary_sample,0.006833442201736227,-0.00024299194692476393,100.75600051879883,138.35699462890625,2.377002716064453
462,0.0006,purple,boundary_sample,0.007517383584955958,-0.0002889827318245753,104.26200103759766,140.14300537109375,2.378997802734375
463,0.0006,purple,boundary_sample,0.008200544343145362,-0.0003340462197832723,107.76399993896484,141.89300537109375,2.3769989013671875
464,0.0006,purple,boundary_sample,0.00888331516090017,-0.0003800106788800944,111.26399993896484,143.67799377441406,2.3769989013671875
465,0.0006,purple,boundary_sample,0.009567548999445848,-0.00042497122116143043,114.77149963378906,145.4239959716797,2.3765029907226562
466,0.0006,purple,boundary_sample,0.010250319817200655,-0.00047103901885804623,118.27149963378906,147.21299743652344,2.3765029907226562
467,0.0006,purple,boundary_sample,0.010934553655746332,-0.000517003870877301,121.77899932861328,148.9980010986328,2.3769989013671875
468,0.0006,purple,boundary_sample,0.011617324473501141,-0.000561964413158637,125.27899932861328,150.74400329589844,2.3769989013671875
469,0.0006,purple,boundary_sample,0.012300096035417082,-0.0006080322108552527,128.77900314331055,152.5330047607422,2.377002716064453
470,0.0006,purple,boundary_sample,0.01298442735907141,-0.0006529925566753725,132.28700256347656,154.27899932861328,2.3769989013671875
471,0.0006,purple,boundary_sample,0.013667198176826217,-0.0006989701786736892,135.78700256347656,156.0644989013672,2.3769989013671875
472,0.0006,purple,boundary_sample,0.014349968994581026,-0.000745037976370305,139.28700256347656,157.85350036621094,2.3769989013671875
473,0.0006,purple,boundary_sample,0.015034299574074218,-0.0007910155983686217,142.7949981689453,159.63899993896484,2.3769989013671875
474,0.0006,purple,boundary_sample,0.015717070391829024,-0.0008359759441887414,146.2949981689453,161.38499450683594,2.3769989013671875
475,0.0006,purple,boundary_sample,0.016400621090453024,-0.0008820437418853572,149.7989959716797,163.1739959716797,2.3769989013671875
476,0.0006,purple,boundary_sample,0.017084171789077025,-0.0009280085939046119,153.30299377441406,164.95899963378906,2.3769989013671875
477,0.0006,purple,boundary_sample,0.017767723976023293,-0.0009739734459238668,156.80699920654297,166.74400329589844,2.3770065307617188
478,0.0006,purple,boundary_sample,0.018450494793778104,-0.0010199895743205857,160.30699920654297,168.53099822998047,2.3770065307617188
479,0.0006,purple,boundary_sample,0.019134338691889182,-0.0010670100124552234,163.8125,170.35699462890625,2.3784942626953125
480,0.0006,purple,boundary_sample,0.019817499450078588,-0.0011119835211768378,167.3144989013672,172.10350036621094,2.376495361328125
481,0.0006,purple,boundary_sample,0.020500270267833395,-0.0011579611431751546,170.8144989013672,173.88899993896484,2.376495361328125
482,0.0006,purple,boundary_sample,0.021184505594701343,-0.001204028744410554,174.32200622558594,175.67799377441406,2.3769989013671875
483,0.0006,purple,boundary_sample,0.02186727641245615,-0.0012499935964298088,177.82200622558594,177.46299743652344,2.3769989013671875
484,0.0006,purple,boundary_sample,0.022550047230210958,-0.0012969627581869824,181.32200622558594,179.28700256347656,2.3769989013671875
485,0.0006,purple,boundary_sample,0.02323437780970415,-0.001343030555883598,184.8300018310547,181.0760040283203,2.3769989013671875
486,0.0006,purple,boundary_sample,0.02391714862745896,-0.001391016600896536,188.3300018310547,182.9394989013672,2.3769989013671875
487,0.0006,purple,boundary_sample,0.02460030938564836,-0.0014369944193560692,191.83200073242188,184.72500610351562,2.378997802734375
488,0.0006,purple,boundary_sample,0.025284250024706956,-0.0014829588784528913,195.33799743652344,186.50999450683594,2.3769989013671875
489,0.0006,purple,boundary_sample,0.025967020842461767,-0.0015339967520004204,198.83799743652344,188.49200439453125,2.3769989013671875
490,0.0006,purple,boundary_sample,0.026650571541085764,-0.0015759958379066806,202.3419952392578,190.1230010986328,2.3769989013671875
491,0.0006,purple,boundary_sample,0.027334123728032036,-0.0016229649996638543,205.84600067138672,191.94700622558594,2.3770065307617188
492,0.0006,purple,boundary_sample,0.028017675914978304,-0.0016729724341316918,209.35000610351562,193.88899993896484,2.3769989013671875
493,0.0006,purple,boundary_sample,0.02870112838433252,-0.001724962948117243,212.85350036621094,195.9080047607422,2.376495361328125
494,0.0006,purple,boundary_sample,0.029384289142521926,-0.0017730004659688614,216.35549926757812,197.77349853515625,2.3784942626953125
495,0.0006,purple,boundary_sample,0.030067351671441544,-0.0018210381802816961,219.85699462890625,199.63899993896484,2.3769989013671875
496,0.0006,purple,boundary_sample,0.030750903858387815,-0.0018700157650534909,223.36100006103516,201.54100036621094,2.3770065307617188
497,0.0006,purple,boundary_sample,0.03143445604533408,-0.0019090535910458917,226.86500549316406,203.05699920654297,2.3769989013671875
498,0.0006,purple,boundary_sample,0.03211722686308889,-0.001966992361278502,230.36500549316406,205.30699920654297,2.3769989013671875
499,0.0006,purple,boundary_sample,0.032801557442582084,-0.002015969946050297,233.8730010986328,207.20899963378906,2.3769989013671875
500,0.0006,purple,boundary_sample,0.03348432826033689,-0.002065951644098794,237.3730010986328,209.14999389648438,2.3769989013671875
501,0.0006,purple,boundary_sample,0.0341670990780917,-0.002115006634589826,240.8730010986328,211.05500030517578,2.3769989013671875
502,0.0006,purple,boundary_sample,0.03485142965758489,-0.0021659928388374585,244.38099670410156,213.03500366210938,2.3769989013671875
503,0.0006,purple,boundary_sample,0.0355342004753397,-0.0022160389761649146,247.88099670410156,214.97850036621094,2.3769989013671875
504,0.0006,purple,boundary_sample,0.03621697129309451,-0.0022670379503916087,251.38099670410156,216.95899963378906,2.3769989013671875
505,0.0006,purple,boundary_sample,0.0369013018725877,-0.002320006841234522,254.8889923095703,219.01599884033203,2.3769989013671875
506,0.0006,purple,boundary_sample,0.03758407269034251,-0.0023709930454821546,258.3889923095703,220.99600219726562,2.3769989013671875
507,0.0006,purple,boundary_sample,0.038267623388966505,-0.0024239617398638513,261.8929901123047,223.05299377441406,2.3769989013671875
508,0.0006,purple,boundary_sample,0.038951078834965264,-0.002478977953042221,265.39649963378906,225.1894989013672,2.3765106201171875
509,0.0006,purple,boundary_sample,0.039634534280964015,-0.0025289726175309964,268.90000915527344,227.13099670410156,2.3769989013671875
